id;fecha;año;mes;dia;coste;recuento personal;project key distintas;issue summary distintas;issue key distintas;activity name distintas;horas;recuento de issues;recuento reporter;issues con parent key;issue type distintos
1;01/01/2019;2019;enero;1;43.75;1.00;1.00;1.00;1.00;1.00;0.50;1.00;1.00;0.00;1.00
2;02/01/2019;2019;enero;2;8621.88;17.00;7.00;27.00;27.00;10.00;129.50;31.00;17.00;4.00;6.00
3;03/01/2019;2019;enero;3;8184.38;18.00;8.00;28.00;28.00;10.00;124.30;32.00;15.00;1.00;6.00
4;04/01/2019;2019;enero;4;11135.00;22.00;9.00;35.00;36.00;16.00;174.00;42.00;21.00;3.00;5.00
5;05/01/2019;2019;enero;5;2093.75;5.00;3.00;8.00;8.00;3.00;31.00;8.00;5.00;0.00;3.00
6;07/01/2019;2019;enero;7;10881.25;23.00;14.00;47.00;47.00;17.00;169.00;56.00;21.00;11.00;5.00
7;08/01/2019;2019;enero;8;6887.50;13.00;7.00;33.00;33.00;13.00;110.00;35.00;15.00;8.00;5.00
8;10/01/2019;2019;enero;10;13027.08;25.00;15.00;59.00;60.00;31.00;196.80;68.00;25.00;14.00;5.00
9;11/01/2019;2019;enero;11;2100.00;3.00;6.00;10.00;10.00;8.00;24.00;10.00;7.00;2.00;4.00
10;14/01/2019;2019;enero;14;9064.38;17.00;9.00;33.00;33.00;12.00;134.80;36.00;16.00;4.00;5.00
11;15/01/2019;2019;enero;15;8226.88;15.00;11.00;27.00;27.00;15.00;119.30;28.00;13.00;4.00;6.00
12;16/01/2019;2019;enero;16;8151.88;16.00;9.00;30.00;30.00;14.00;120.80;30.00;14.00;5.00;6.00
13;17/01/2019;2019;enero;17;7618.75;14.00;8.00;25.00;25.00;11.00;110.50;26.00;16.00;5.00;6.00
14;18/01/2019;2019;enero;18;7778.13;15.00;10.00;25.00;25.00;14.00;112.50;26.00;17.00;3.00;6.00
15;21/01/2019;2019;enero;21;8400.00;16.00;9.00;29.00;29.00;14.00;125.50;30.00;17.00;3.00;6.00
16;22/01/2019;2019;enero;22;8673.13;16.00;6.00;25.00;25.00;7.00;129.80;26.00;15.00;5.00;6.00
17;23/01/2019;2019;enero;23;8528.13;17.00;9.00;33.00;33.00;11.00;126.80;34.00;16.00;9.00;6.00
18;24/01/2019;2019;enero;24;9248.13;17.00;11.00;32.00;32.00;15.00;136.50;34.00;15.00;5.00;6.00
19;25/01/2019;2019;enero;25;8925.00;18.00;9.00;30.00;30.00;15.00;133.00;31.00;18.00;4.00;6.00
20;28/01/2019;2019;enero;28;9350.63;18.00;8.00;29.00;29.00;14.00;138.50;29.00;17.00;5.00;6.00
21;29/01/2019;2019;enero;29;8483.13;17.00;8.00;32.00;32.00;15.00;129.80;34.00;19.00;5.00;6.00
22;30/01/2019;2019;enero;30;9683.13;18.00;8.00;31.00;31.00;13.00;141.50;35.00;17.00;3.00;6.00
23;31/01/2019;2019;enero;31;8628.13;17.00;7.00;30.00;30.00;14.00;130.50;34.00;16.00;3.00;5.00
24;01/02/2019;2019;febrero;1;4506.25;8.00;6.00;19.00;19.00;9.00;67.50;22.00;13.00;3.00;5.00
25;04/02/2019;2019;febrero;4;11665.63;23.00;12.00;38.00;39.00;18.00;178.80;44.00;21.00;3.00;5.00
26;05/02/2019;2019;febrero;5;5625.00;12.00;5.00;21.00;21.00;6.00;90.00;24.00;9.00;2.00;5.00
27;07/02/2019;2019;febrero;7;11568.75;22.00;12.00;40.00;40.00;14.00;175.50;50.00;14.00;13.00;5.00
28;08/02/2019;2019;febrero;8;6631.25;14.00;6.00;29.00;29.00;11.00;105.50;33.00;11.00;5.00;5.00
29;09/02/2019;2019;febrero;9;11025.00;20.00;14.00;42.00;42.00;22.00;157.50;47.00;22.00;8.00;5.00
30;10/02/2019;2019;febrero;10;13731.25;25.00;14.00;51.00;51.00;24.00;204.00;53.00;24.00;12.00;5.00
31;12/02/2019;2019;febrero;12;13218.75;30.00;14.00;50.00;50.00;25.00;216.30;59.00;30.00;10.00;5.00
32;13/02/2019;2019;febrero;13;10190.63;18.00;6.00;38.00;38.00;13.00;150.80;43.00;15.00;8.00;5.00
33;14/02/2019;2019;febrero;14;8756.25;16.00;5.00;35.00;35.00;11.00;131.00;37.00;15.00;9.00;5.00
34;15/02/2019;2019;febrero;15;8957.50;15.00;6.00;26.00;26.00;10.00;132.50;28.00;10.00;10.00;5.00
35;16/02/2019;2019;febrero;16;337.50;2.00;1.00;2.00;2.00;1.00;4.00;2.00;1.00;0.00;2.00
36;17/02/2019;2019;febrero;17;225.00;1.00;1.00;1.00;1.00;1.00;3.00;1.00;1.00;0.00;1.00
37;18/02/2019;2019;febrero;18;8112.50;14.00;5.00;33.00;33.00;10.00;124.50;37.00;10.00;11.00;5.00
38;19/02/2019;2019;febrero;19;8912.50;15.00;5.00;32.00;32.00;9.00;131.30;36.00;14.00;8.00;5.00
39;20/02/2019;2019;febrero;20;9131.25;15.00;5.00;37.00;37.00;10.00;134.80;39.00;14.00;9.00;5.00
40;21/02/2019;2019;febrero;21;7806.25;16.00;6.00;32.00;32.00;10.00;117.80;36.00;15.00;4.00;5.00
41;22/02/2019;2019;febrero;22;8271.25;15.00;7.00;24.00;24.00;9.00;117.80;25.00;15.00;3.00;5.00
42;24/02/2019;2019;febrero;24;350.00;1.00;1.00;1.00;1.00;1.00;4.00;1.00;1.00;0.00;1.00
43;25/02/2019;2019;febrero;25;9984.38;18.00;6.00;44.00;44.00;11.00;147.00;48.00;15.00;4.00;5.00
44;26/02/2019;2019;febrero;26;10331.25;18.00;6.00;32.00;32.00;11.00;151.00;36.00;14.00;6.00;6.00
45;27/02/2019;2019;febrero;27;8450.00;17.00;5.00;34.00;34.00;11.00;128.80;37.00;14.00;5.00;6.00
46;28/02/2019;2019;febrero;28;7740.63;15.00;7.00;24.00;24.00;10.00;116.30;29.00;11.00;1.00;6.00
